x,y,c
355,486,1
448,331,1
16,438,0
840,326,4
105,792,2
53,138,0
188,722,2
28,410,0
368,861,6
503,180,3
657,500,4
511,453,1
862,598,4
927,906,7
745,514,4
43,104,0
207,563,2
912,398,4
657,244,5
790,953,7
978,821,7
68,856,2
954,903,7
283,602,1
810,381,4
901,493,4
417,219,3
991,760,7
343,395,1
413,131,3
624,534,1
861,973,7
659,400,4
791,134,5
787,167,5
779,591,4
741,869,7
427,734,6
827,172,5
371,310,3
945,409,4
414,239,3
551,268,3
891,569,4
646,815,6
752,623,4
462,645,1
445,818,6
366,614,1
660,3,5
206,160,0
71,102,0
386,383,1
747,579,4
807,560,4
156,990,2
524,650,1
890,297,4
609,111,3
170,121,0
938,706,7
215,758,2
394,8,3
42,87,0
178,996,2
408,534,1
985,734,7
627,335,4
792,684,7
492,567,1
862,588,4
735,850,7
418,448,1
487,149,3
647,3,5
484,406,1
277,627,2
618,977,6
757,807,7
828,212,5
221,675,2
233,621,2
933,658,7
566,659,1
193,35,0
364,938,6
928,335,4
131,546,2
84,554,2
911,338,4
227,992,2
186,329,0
837,10,5
858,86,5
855,713,7
140,73,0
816,722,7
345,690,6
362,491,1
936,48,5
171,805,2
917,996,7
981,602,4
761,415,4
170,825,2
945,472,4
644,615,1
787,779,7
379,929,6
374,423,1
32,959,2
9,999,2
635,387,4
568,835,6
784,282,5
714,767,7
967,770,7
710,949,7
196,517,1
271,311,0
604,828,6
150,527,2
161,736,2
495,90,3
87,629,2
150,226,0
600,33,3
164,68,0
165,483,0
732,914,7
983,871,7
571,529,1
405,113,3
920,997,7
22,463,0
935,3,5
969,4,5
396,80,3
83,170,0
679,584,4
961,233,5
483,33,3
375,445,1
491,273,3
320,308,0
519,149,3
14,889,2
107,957,2
197,426,0
497,780,6
875,313,4
257,476,1
738,665,7
405,233,3
914,830,7
634,260,5
889,266,5
748,443,4
372,502,1
41,591,2
362,262,3
616,366,4
598,224,3
315,962,6
406,174,3
171,930,2
443,34,3
132,464,0
968,298,4
369,227,3
661,580,4
120,869,2
878,899,7
561,960,6
416,994,6
91,980,2
908,152,5
792,684,7
32,21,0
186,602,2
217,229,0
286,216,0
613,547,1
920,617,4
601,567,1
95,134,0
606,611,1
522,77,3
289,706,2
923,384,4
299,274,0
315,82,3
694,427,4
126,591,2
810,984,7
568,452,1
934,870,7
424,236,3
315,563,1
605,565,1
165,705,2
703,91,5
459,139,3
223,67,0
370,439,1
840,578,4
13,949,2
311,983,6
112,943,2
474,175,3
396,73,3
774,232,5
981,786,7
19,424,0
443,123,3
171,390,0
614,424,1
553,832,6
741,101,5
463,399,1
721,187,5
635,8,5
589,884,6
378,525,1
369,195,3
541,52,3
64,502,0
811,414,4
902,536,4
47,274,0
630,451,4
995,922,7
714,771,7
390,927,6
172,761,2
482,689,6
829,750,7
169,273,0
797,270,5
969,227,5
794,855,7
37,974,2
516,282,3
847,454,4
592,321,3
794,420,4
244,866,2
613,371,4
123,507,0
965,774,7
976,870,7
377,465,1
768,263,5
388,734,6
371,252,3
6,593,2
140,700,2
524,757,6
729,443,4
978,952,7
837,285,5
558,788,6
924,408,4
23,768,2
615,496,1
574,375,1
113,741,2
243,935,2
496,575,1
779,885,7
88,301,0
800,806,7
205,450,0
