x,y,c
41,467,1
334,500,0
169,724,0
478,358,1
962,464,1
705,145,1
281,827,0
961,491,1
995,942,0
827,436,1
391,604,0
902,153,1
292,382,1
421,716,0
718,895,0
447,726,0
771,538,0
869,912,0
667,299,1
35,894,0
703,811,0
322,333,1
673,664,0
141,711,0
253,868,0
547,644,0
662,757,0
37,859,0
723,741,0
529,778,0
316,35,1
190,842,0
288,106,1
40,942,0
264,648,0
446,805,0
890,729,0
370,350,1
6,101,1
393,548,0
629,623,0
84,954,0
756,840,0
966,376,1
931,308,1
944,439,1
626,323,1
537,538,0
118,82,1
929,541,0
833,115,1
639,658,0
704,930,0
977,306,1
673,386,1
21,745,0
924,72,1
270,829,0
777,573,0
97,512,0
986,290,1
161,636,0
355,767,0
655,574,0
31,52,1
350,150,1
941,724,0
966,430,1
107,191,1
7,337,1
457,287,1
753,383,1
945,909,0
209,758,0
221,588,0
422,946,0
506,30,1
413,168,1
900,591,0
762,655,0
410,359,1
624,537,0
548,483,1
595,41,1
602,350,1
291,836,0
374,20,1
596,21,1
348,199,1
668,484,1
281,734,0
53,999,0
418,938,0
900,788,0
127,467,1
728,893,0
648,483,1
807,421,1
310,617,0
813,514,0
309,616,0
935,451,1
600,249,1
519,556,0
798,303,1
224,8,1
844,609,0
989,702,0
195,485,1
93,343,1
523,587,0
314,503,0
448,200,1
458,618,0
580,796,0
798,281,1
589,798,0
9,157,1
472,622,0
538,292,1
38,179,1
190,657,0
958,191,1
815,888,0
156,511,0
202,634,0
272,55,1
328,646,0
362,886,0
875,433,1
869,142,1
844,416,1
881,998,0
322,651,0
21,699,0
557,476,1
892,389,1
75,712,0
600,510,0
3,869,0
861,688,0
401,789,0
255,423,1
2,585,0
182,285,1
88,426,1
617,757,0
832,932,0
169,154,1
721,189,1
976,329,1
368,692,0
425,555,0
434,549,0
441,512,0
145,60,1
718,753,0
139,423,1
279,996,0
687,529,0
549,437,1
866,949,0
193,195,1
297,416,1
286,105,1
488,282,1
455,734,0
114,701,0
316,671,0
786,263,1
313,355,1
185,53,1
912,808,0
832,945,0
313,756,0
321,558,0
646,982,0
481,144,1
196,222,1
129,161,1
535,450,1
173,466,1
44,659,0
292,439,1
253,24,1
154,510,0
745,649,0
186,313,1
474,22,1
168,18,1
787,905,0
958,391,1
202,625,0
477,414,1
314,824,0
334,874,0
372,159,1
833,70,1
487,297,1
518,177,1
773,270,1
763,668,0
192,985,0
102,480,1
213,627,0
802,99,1
527,625,0
543,924,0
23,972,0
61,181,1
3,432,1
505,593,0
725,31,1
492,142,1
222,286,1
64,900,0
187,360,1
413,974,0
270,170,1
235,833,0
711,760,0
896,667,0
285,550,0
140,694,0
695,624,0
19,125,1
576,694,0
658,302,1
371,466,1
678,593,0
851,484,1
18,464,1
119,152,1
800,87,1
60,926,0
10,757,0
170,315,1
576,227,1
43,758,0
164,109,1
882,86,1
565,487,1
577,474,1
625,627,0
629,928,0
423,520,0
902,962,0
123,596,0
737,261,1
195,525,0
264,260,1
202,116,1
30,326,1
11,771,0
411,547,0
153,520,0
790,924,0
188,763,0
940,851,0
662,829,0
900,713,0
958,578,0
365,7,1
477,200,1
58,439,1
303,760,0
357,324,1
477,108,1
113,887,0
801,850,0
460,428,1
993,384,1
405,540,0
111,704,0
835,356,1
72,350,1
823,485,1
556,216,1
626,357,1
526,357,1
337,271,1
869,361,1
896,22,1
617,112,1
717,696,0
585,41,1
423,129,1
229,565,0
559,932,0
296,855,0
53,962,0
584,734,0
654,972,0
457,369,1
532,963,0
607,483,1
911,635,0
67,848,0
675,938,0
223,142,1
754,511,0
741,175,1
459,825,0
221,870,0
626,934,0
205,783,0
850,398,1
279,701,0
193,734,0
637,534,0
556,993,0
176,705,0
962,548,0
881,300,1
413,641,0
855,855,0
142,462,1
611,877,0
424,678,0
752,443,1
296,673,0
40,313,1
875,72,1
818,610,0
17,932,0
112,695,0
169,831,0
40,488,0
685,90,1
497,589,0
990,145,1
353,314,1
651,740,0
44,258,1
335,759,0
192,605,0
264,181,1
503,829,0
775,608,0
292,997,0
549,556,0
561,627,0
467,541,0
129,240,1
813,174,1
601,77,1
215,683,0
213,992,0
824,601,0
392,759,0
670,428,1
27,84,1
75,786,0
498,970,0
287,847,0
604,503,0
221,663,0
706,363,1
10,171,1
489,240,1
164,542,0
619,913,0
591,704,0
818,232,1
750,205,1
975,539,0
303,422,1
98,247,1
584,648,0
971,864,0
913,75,1
545,712,0
546,678,0
769,262,1
519,985,0
289,944,0
865,540,0
245,508,0
318,870,0
601,323,1
132,472,1
152,87,1
570,763,0
901,103,1
423,527,0
600,969,0
15,565,0
28,543,0
347,88,1
943,637,0
409,463,1
49,681,0
588,342,1
608,60,1
221,758,0
954,888,0
146,690,0
949,843,0
430,620,0
748,67,1
536,783,0
35,226,1
185,38,1
853,629,0
224,748,0
923,359,1
257,766,0
944,955,0
318,726,0
411,25,1
355,1,1
549,496,1
584,515,0
964,342,1
75,913,0
142,196,1
948,72,1
426,606,0
173,429,1
404,705,0
626,812,0
375,93,1
565,36,1
736,141,1
814,994,0
256,652,0
936,838,0
482,355,1
15,131,1
230,841,0
625,11,1
637,186,1
690,650,0
662,634,0
893,353,1
416,452,1
8,262,1
233,454,1
303,634,0
303,256,1
148,124,1
317,213,1
109,28,1
200,80,1
318,858,0
50,155,1
361,264,1
903,676,0
643,909,0
902,561,0
489,948,0
282,653,0
674,220,1
402,923,0
831,369,1
878,259,1
8,619,0
971,3,1
945,781,0
504,392,1
685,313,1
698,589,0
722,938,0
37,410,1
461,234,1
508,961,0
959,493,1
515,269,1
937,869,0
58,700,0
971,264,1
117,215,1
555,815,0
330,39,1
212,288,1
82,954,0
85,710,0
484,774,0
380,815,0
951,541,0
115,679,0
110,898,0
73,788,0
977,132,1
956,689,0
113,8,1
941,790,0
723,363,1
28,184,1
778,200,1
71,885,0
974,71,1
333,867,0
153,295,1
168,825,0
676,629,0
650,598,0
309,693,0
686,80,1
116,249,1
667,528,0
679,864,0
421,405,1
826,816,0
516,726,0
666,87,1
