x,y,c
647,672,1
133,831,1
883,422,0
231,753,1
644,692,1
803,769,2
166,506,1
183,862,1
305,798,1
860,784,2
150,949,1
640,279,0
60,961,1
903,19,0
875,124,0
339,974,1
984,931,2
505,880,1
467,342,0
149,465,1
214,847,1
953,172,0
631,961,1
138,322,1
143,995,1
332,956,1
252,117,0
112,285,1
428,914,1
690,111,0
474,343,0
31,965,1
374,43,0
615,914,1
960,31,0
751,544,0
438,552,1
291,794,1
463,315,0
698,502,0
734,808,1
34,269,1
42,650,1
190,982,1
493,542,1
773,730,1
996,426,0
149,472,1
71,272,1
7,28,0
570,898,1
77,828,1
219,216,0
17,692,1
381,369,0
120,914,1
124,518,1
15,236,1
177,469,1
380,280,0
640,956,1
473,732,1
761,532,0
100,768,1
916,681,3
2,384,1
241,839,1
326,142,0
118,887,1
644,56,0
842,178,0
659,590,0
250,349,1
634,431,0
353,981,1
114,844,1
838,677,3
724,573,0
593,382,0
917,571,3
637,815,1
999,741,3
348,541,1
394,455,1
279,556,1
459,840,1
270,823,1
731,242,0
632,860,1
331,32,0
466,387,0
750,555,0
173,329,1
473,541,1
819,952,2
862,122,0
850,89,0
711,923,1
845,717,3
105,253,0
734,552,0
366,666,1
897,711,3
376,799,1
909,788,2
323,813,1
684,375,0
42,203,0
622,15,0
509,524,1
504,241,0
129,805,1
986,560,3
625,891,1
346,566,1
444,242,0
635,146,0
510,920,1
618,435,0
403,635,1
611,276,0
369,848,1
910,728,3
510,870,1
744,639,3
402,706,1
448,42,0
302,989,1
367,924,1
541,131,0
275,617,1
625,269,0
718,483,0
882,889,2
370,450,1
243,879,1
384,876,1
845,344,0
786,183,0
760,11,0
989,586,3
31,408,1
187,402,1
427,256,0
967,52,0
107,500,1
258,885,1
491,469,0
142,114,0
250,388,1
826,934,2
24,340,1
461,246,0
600,37,0
686,35,0
634,602,1
923,344,0
820,12,0
528,626,1
946,408,0
811,688,3
444,454,0
190,411,1
343,892,1
652,0,0
231,603,1
624,84,0
803,273,0
962,216,0
865,566,0
491,837,1
899,834,2
467,576,1
274,735,1
249,577,1
299,691,1
347,753,1
55,978,1
166,27,0
879,337,0
344,973,1
679,549,0
444,126,0
563,917,1
127,26,0
112,333,1
48,700,1
716,45,0
429,51,0
672,626,1
92,376,1
12,571,1
374,807,1
220,958,1
323,588,1
26,748,1
202,40,0
837,306,0
168,612,1
448,962,1
315,557,1
893,409,0
15,689,1
476,858,1
969,249,0
142,331,1
610,167,0
615,727,1
46,281,1
764,348,0
997,439,0
105,357,1
330,850,1
414,90,0
178,277,0
835,79,0
239,329,0
841,858,2
710,963,1
195,809,1
134,753,1
53,564,1
787,117,0
