x,y,c
850,439,0
833,495,0
357,224,2
792,312,0
438,3,2
701,600,2
14,809,3
57,942,3
577,513,2
509,515,2
989,444,0
723,988,1
331,540,2
86,791,3
277,415,2
631,161,2
529,72,2
578,127,2
229,431,2
16,28,2
83,634,2
77,243,2
223,52,2
21,349,2
407,45,2
891,620,0
130,387,2
946,993,1
228,271,2
824,891,1
945,411,0
416,634,2
271,994,3
478,147,2
138,320,2
352,300,2
890,732,0
659,515,2
247,579,2
268,586,2
704,368,2
97,517,2
960,536,0
39,391,2
730,386,2
116,522,2
591,215,2
543,5,2
910,902,1
943,219,0
355,268,2
98,290,2
194,554,2
872,193,0
805,959,1
126,862,3
965,719,0
63,662,2
302,772,3
16,934,3
919,604,0
762,170,2
872,515,0
374,84,2
67,883,3
132,591,2
792,426,0
685,732,3
52,515,2
426,13,2
26,534,2
756,424,2
942,36,0
405,863,3
693,54,2
422,269,2
128,38,2
547,443,2
851,80,0
100,21,2
625,954,3
653,630,2
538,794,3
609,563,2
848,959,1
642,526,2
910,426,0
612,490,2
874,182,0
187,47,2
236,654,2
705,622,2
487,262,2
701,607,2
1,686,2
513,864,3
718,826,3
562,826,3
553,916,3
966,687,0
453,694,2
664,638,2
864,371,0
55,546,2
97,950,3
993,31,0
748,389,2
378,415,2
148,551,2
905,276,0
433,955,3
469,471,2
578,139,2
899,785,1
436,345,2
148,815,3
763,153,2
245,907,3
473,343,2
974,513,0
901,594,0
551,215,2
917,850,1
479,577,2
519,798,3
824,652,0
900,57,0
192,433,2
390,461,2
385,468,2
964,16,0
451,861,3
3,231,2
423,246,2
424,936,3
391,351,2
899,996,1
109,655,2
70,709,2
490,236,2
799,133,0
568,589,2
793,703,3
202,541,2
362,289,2
490,490,2
320,338,2
163,471,2
581,520,2
152,919,3
813,518,0
92,756,2
198,500,2
60,223,2
944,719,0
882,96,0
444,843,3
467,295,2
449,382,2
619,860,3
29,46,2
599,53,2
25,102,2
12,798,2
768,773,3
366,78,2
914,231,0
300,159,2
692,609,2
314,446,2
450,639,2
262,524,2
471,376,2
63,100,2
308,964,3
163,958,3
416,84,2
849,243,0
79,340,2
254,266,2
789,901,1
451,227,2
869,837,1
230,729,2
301,291,2
464,205,2
836,541,0
304,929,3
384,644,2
582,218,2
217,563,2
154,371,2
802,452,0
54,733,2
817,932,1
209,731,2
660,280,2
542,757,3
998,104,0
236,139,2
202,906,3
87,500,2
64,114,2
815,687,0
942,720,0
999,683,0
433,603,2
441,906,3
28,589,2
784,83,0
751,767,3
334,320,2
956,447,0
151,413,2
726,878,3
501,795,3
595,511,2
437,219,2
196,749,2
595,678,2
2,372,2
970,181,0
851,818,1
6,805,3
189,167,2
285,741,2
34,348,2
915,435,0
741,632,2
613,291,2
421,785,3
273,841,3
7,89,2
524,834,3
472,222,2
116,518,2
603,758,3
903,521,0
776,794,3
898,114,0
406,251,2
255,971,3
226,187,2
769,906,1
336,230,2
106,143,2
322,528,2
168,695,2
